Query,Run 1,Run 2,Run 3,Average,Standard Deviation
1,1914.273024,1961.530924,1871.301174,1.915702,0.036850
2,1402.113199,1564.317942,1597.324848,1.521252,0.085315
3,2647.336006,2734.096766,2813.402891,2.731612,0.067819
4,1734.219074,1798.034906,1756.844997,1.763033,0.026418
5,2477.413893,2665.173054,2487.326860,2.543305,0.086269
6,590.324163,557.200193,1485.172272,0.877566,0.429856
7,2976.480961,2998.704910,2987.338066,2.987508,0.009074
8,1058.589935,976.665020,2886.737108,1.640664,0.881741
9,7126.230955,6676.333666,6670.629978,6.824398,0.213441
10,5324.126005,5320.388794,5322.770357,5.322428,0.001545
11,818.315029,868.633986,791.810036,0.826253,0.031862
12,2007.002831,1947.056055,1922.719955,1.958926,0.035417
13,6898.528099,6723.482847,6759.497881,6.793836,0.075474
14,1267.477989,1273.868084,1304.750204,1.282032,0.016275
15,1943.873882,1940.281630,2040.732145,1.974963,0.046529
16,1557.669878,1598.202229,1460.664988,1.538846,0.057705
17,1465.215921,1719.596148,1557.373285,1.580728,0.105155
18,6250.498056,6230.530977,6344.119072,6.275049,0.049515
19,1331.539869,1321.630239,1350.503922,1.334558,0.011979
20,1715.401888,1548.972845,1577.398062,1.613924,0.072688
21,5677.510977,5812.242985,6071.681023,5.853812,0.163582
22,1476.802111,1565.437078,1764.617920,1.602286,0.120355
